date,time,profile
2025-04-28,22:23:05,high
2025-04-28,22:23:18,critical
2025-04-28,22:23:18,high
2025-04-28,22:23:58,high
2025-04-28,22:24:10,low
2025-04-28,22:24:22,high
2025-04-28,22:24:35,critical
2025-04-28,22:24:35,high
2025-04-28,22:24:50,low
2025-04-28,22:25:14,high
2025-04-28,22:26:14,low
2025-04-28,22:26:38,high
2025-04-28,22:27:50,critical
2025-04-28,22:27:50,high
2025-04-28,22:28:05,high
2025-04-28,22:57:18,high
2025-04-28,23:39:42,critical
2025-04-28,23:39:42,high
2025-04-28,23:47:23,idle
2025-04-28,23:54:25,high
2025-04-28,23:56:38,high
2025-04-28,23:56:49,low
2025-04-28,23:57:15,high
2025-04-28,23:58:00,low
2025-04-28,23:58:11,high
2025-04-28,23:58:39,high
2025-04-29,00:02:27,critical
2025-04-29,00:02:27,high
2025-04-29,00:02:41,high
2025-04-29,00:03:23,low
2025-04-29,00:13:33,high
2025-04-29,00:14:46,high
2025-04-29,00:14:59,critical
2025-04-29,00:14:59,high
2025-04-29,00:15:11,low
2025-04-29,00:15:21,high
2025-04-29,00:15:55,low
2025-04-29,00:16:32,critical
2025-04-29,00:16:32,high
2025-04-29,00:16:44,low
2025-04-29,00:16:55,high
2025-04-29,00:17:06,low
2025-04-29,00:17:40,high
2025-04-29,00:17:51,low
2025-04-29,00:18:37,critical
2025-04-29,00:18:37,high
2025-04-29,00:18:51,low
2025-04-29,00:19:02,high
2025-04-29,00:19:12,low
